review	label
La trama fue predecible y aburrida, esperaba mucho más.	neg
Una obra maestra, la actuación principal fue impresionante.	pos
Los efectos especiales eran mediocres y mal ejecutados.	neg
Una historia conmovedora que me hizo llorar de principio a fin.	pos
El guion tenía huecos enormes y personajes poco creíbles.	neg
Una película brillante, con dirección impecable y gran fotografía.	pos
El ritmo fue demasiado lento y casi me duermo.	neg
Una experiencia inolvidable, definitivamente la vería otra vez.	pos
La música no encajaba con las escenas, un desastre total.	neg
Una comedia fresca y divertida, me hizo reír muchísimo.	pos
